1,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
4,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
4,0,0
4,0,0
4,0,0
2,0,0
3,0,0
3,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
2,0,0
3,0,0
4,0,0
4,0,0
5,0,0
7,0,0
5,0,0
4,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
2,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
2,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
2,0,0
2,0,0
4,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
5,0,0
5,0,0
3,0,0
3,0,0
2,0,0
6,0,0
8,0,0
4,0,0
7,0,0
7,0,0
8,0,0
10,0,0
13,0,0
10,0,0
9,0,0
8,0,0
12,0,0
7,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
8,0,0
12,0,0
17,1,0
11,0,0
12,0,0
8,0,0
7,0,0
7,0,0
7,0,0
7,0,0
8,0,0
7,0,0
8,0,0
9,0,0
11,0,0
11,0,0
10,0,0
11,0,0
12,0,0
12,0,0
12,0,0
13,0,0
9,0,0
11,0,0
10,0,0
8,0,0
8,0,0
7,0,0
9,0,0
7,0,0
8,0,0
8,0,0
8,0,0
5,0,0
6,0,0
7,0,0
9,0,0
9,0,0
11,0,0
11,0,0
10,0,0
9,0,0
8,0,0
9,0,0
9,0,0
9,0,0
9,0,0
10,0,0
8,0,0
8,0,0
5,0,0
4,0,0
5,0,0
6,0,0
5,0,0
4,0,0
5,0,0
3,0,0
3,0,0
4,0,0
6,0,0
6,0,0
4,0,0
3,0,0
3,0,0
8,0,0
10,0,0
8,0,0
5,0,0
3,0,0
9,0,0
18,1,0
26,3,0
18,1,0
21,2,0
24,3,0
15,1,0
9,0,0
11,0,0
11,0,0
10,0,0
6,0,0
12,0,0
10,0,0
7,0,0
14,0,0
10,0,0
7,0,0
6,0,0
7,0,0
4,0,0
3,0,0
4,0,0
5,0,0
6,0,0
6,0,0
6,0,0
5,0,0
6,0,0
4,0,0
7,0,0
7,0,0
5,0,0
4,0,0
5,0,0
5,0,0
4,0,0
5,0,0
4,0,0
5,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
